make,model,colour,capacity,network,grade,condition,count
Acer,"ICONIA A1-811",White,8GB,Unlocked,"Grade B B2B",Working,2
Acer,"ICONIA A3 10.1",White,16GB,"Not Applicable","Insurance Grade","Brand New",2
Acer,"ICONIA A3-A11",Black,16GB,Damaged,Unknown,"Power On Tested-Good LCD",2
Acer,"ICONIA ONE 10",White,16GB,"Not Applicable","Grade C - Acceptable Condition",Working,2
Acer,"ICONIA W5",Silver,2GB,"Not Applicable",Unknown,"Power On Tested-Good LCD",12
Acer,"ICONIA W5",Silver,2GB,"Not Applicable",Unknown,"Power On Tested",2
Acer,"ICONIA W5",Silver,2GB,"Not Applicable",Unknown,Non-working,10
Acer,"ICONIA W5",Silver,2GB,"Not Applicable","Grade B - Good Condition",Working,2
Acer,"JADE S",Black,8GB,Unlocked,"Grade B B2B",Working,2
Acer,"JADE S",Black,8GB,Unlocked,"Insurance Grade","Brand New",2
Acer,"JADE S",Black,8GB,Unlocked,"Grade B - Good Condition",Working,6
Acer,"JADE S",Black,8GB,Unlocked,"Grade A - Very Good Condition",Working,2
Acer,"Liquid E2",Black,2GB,Unlocked,"Grade A - Very Good Condition","Non-working - Need Battery",4
Acer,"Liquid E2",Black,2GB,Unlocked,"Grade C - Acceptable Condition","Non-working - Need Battery",2
Acer,"Liquid E2",Black,2GB,Damaged,Unknown,Non-working,2
Acer,"Liquid E2",White,2GB,Unlocked,"Grade A - Very Good Condition","Non-working - Need Battery",2
Acer,"LIQUID E3",Black,4GB,Unlocked,"Insurance Grade","Brand New",4
Acer,"LIQUID E3",Grey,4GB,Unlocked,"Insurance Grade","Brand New",4
Acer,"LIQUID E3",Black,4GB,Unlocked,"Grade B - Good Condition",Working,2
Acer,"LIQUID E600",Black,"Not Applicable",Unlocked,"Insurance Grade","Brand New",2
Acer,"LIQUID E600",Black,"Not Applicable",Unlocked,"Grade C - Acceptable Condition",Working,2
Acer,"LIQUID E600",Black,"Not Applicable",Unlocked,"Insurance Grade","Non-working - Need Repair - Software",2
Acer,"LIQUID E600",Silver,"Not Applicable",Unlocked,"Insurance Grade","Brand New",2
Acer,"LIQUID EXPRESS E320",Grey,"Not Applicable",Unlocked,"Grade B - Good Condition","Non-working - Need Battery",6
Acer,"LIQUID EXPRESS E320",Grey,"Not Applicable",Unlocked,"Grade C - Acceptable Condition","Non-working - Need Battery",2
Acer,"LIQUID EXPRESS E320",Grey,"Not Applicable",Unlocked,"Grade A - Very Good Condition","Non-working - Need Battery",2
Acer,"LIQUID GLOW E330",Black,"Not Applicable",Unlocked,"Grade C - Acceptable Condition","Non-working - Need Battery",2
Acer,"LIQUID GLOW E330",Black,"Not Applicable",Unlocked,"Grade A - Very Good Condition",Working,8
Acer,"LIQUID JADE S55",White,8GB,Unlocked,"Insurance Grade","Brand New",2
Acer,"LIQUID JADE S55",Black,8GB,Unlocked,"Insurance Grade","Brand New",4
Acer,"LIQUID JADE S55",White,8GB,Unlocked,"Grade A - Very Good Condition",Working,2
Acer,"LIQUID JADE Z",Black,8GB,Unlocked,"Insurance Grade","Brand New",4
Acer,"LIQUID S1",Black,8GB,"EE Network","Not Graded","Non-working - Need Battery",4
Acer,"LIQUID Z110",Black,"Not Applicable",Unlocked,"Grade A - Very Good Condition","Non-working - Need Battery",6
Acer,"LIQUID Z110",Black,"Not Applicable",Unlocked,"Grade A - Very Good Condition",Working,10
Acer,"LIQUID Z110",Black,"Not Applicable",Unlocked,"Grade B B2B",Working,4
Acer,"LIQUID Z110",Black,"Not Applicable",Unlocked,"Grade B - Good Condition",Working,8
Acer,"LIQUID Z110",White,"Not Applicable",Unlocked,"Grade C - Acceptable Condition","Non-working - Need Repair - Software",2
Acer,"LIQUID Z110",White,"Not Applicable",Unlocked,"Grade A - Very Good Condition",Working,2
Acer,"LIQUID Z110",Black,"Not Applicable",Unlocked,"Grade B - Good Condition","Non-working - Need Battery",12
Acer,"LIQUID Z110",Black,"Not Applicable",Unlocked,"Insurance Grade","Brand New",2
Acer,"LIQUID Z110",White,"Not Applicable",Unlocked,"Insurance Grade","Brand New",2
Acer,"liquid z2",Black,2GB,Unlocked,"Grade B - Good Condition",Working,6
Acer,"liquid z2",Black,2GB,Unlocked,"Grade A - Very Good Condition",Working,8
Acer,"liquid z2",White,2GB,Unlocked,"Grade A - Very Good Condition",Working,2
Acer,"liquid z2",Black,2GB,Unlocked,"Grade C - Acceptable Condition",Working,2
Acer,"LIQUID Z200",Black,4GB,"EE Network","Not Graded","Non-working - Need Battery",2
Acer,"LIQUID Z220",Black,8GB,Unlocked,"Grade A - Very Good Condition",Working,2
Acer,"LIQUID Z220",Black,8GB,Unlocked,"Grade C - Acceptable Condition",Working,2
Acer,"LIQUID Z220",Black,8GB,"EE Network","Not Graded","Non-working - Need Battery",2
Acer,"LIQUID Z220",White,8GB,"EE Network","Not Graded","Non-working - Need Battery",4
Acer,"liquid z4",Black,4GB,Unlocked,"Grade A - Very Good Condition",Working,6
Acer,"liquid z4",Black,4GB,Unlocked,"Insurance Grade","Brand New",4
Acer,"liquid z4",Black,4GB,Unlocked,"Grade B - Good Condition",Working,2
Acer,"liquid z4",Black,4GB,Unlocked,"Not Graded",Working,2
Acer,"liquid z4",White,4GB,Unlocked,"Grade A - Very Good Condition","Non-working - Need Battery",2
Acer,"liquid z4",White,4GB,Damaged,"Grade B - Good Condition","Non-working - Need Battery",2
Acer,"liquid z4",Black,4GB,Unlocked,"Grade A - Very Good Condition","Non-working - Need Battery",4
Acer,"liquid z4",Pink,4GB,Damaged,Unknown,Non-working,2
Acer,"liquid z4",Pink,4GB,Unlocked,"Grade A - Very Good Condition","Non-working - Need Battery",2
Acer,"LIQUID Z410",Black,8GB,"EE Network","Not Graded","Non-working - Need Battery",4
Acer,"LIQUID Z5",Grey,4GB,Unlocked,"Grade A - Very Good Condition",Working,2
Acer,"LIQUID Z5",Black,4GB,Unlocked,"Insurance Grade","Brand New",2
Acer,"LIQUID Z5",White,4GB,Unlocked,"Insurance Grade","Brand New",4
Acer,"Liquid Z5 Duo",Grey,4GB,Unlocked,"Grade D","Working - Minor Issue",2
Acer,"LIQUID Z500",Silver,4GB,Unlocked,"Grade A - Very Good Condition",Working,2
Acer,"LIQUID Z500",Silver,4GB,Unlocked,"Grade A - Very Good Condition",Non-working,2
Acer,"LIQUID Z500",Black,4GB,Unlocked,"Grade C - Acceptable Condition",Working,2
Acer,"P223W - MONITOR",Black,"Not Applicable","Not Applicable","Grade B - Good Condition",Working,2
Acer,"V173 MONITOR",Black,"Not Applicable","Not Applicable","Grade B - Good Condition",Working,4
Acer,V193HQV,Black,"Not Applicable","Not Applicable","Grade B - Good Condition",Working,4
ADMET,V10,Black,"Not Applicable",Damaged,"Grade C - Acceptable Condition",BER-Scrap,2
Advent," 7113 1.73GHz 1GB RAM 80GB HDD 15.4 Inch",Black,"Not Applicable","Not Applicable","Not Graded",BER,2
AEROFLEX,"9102 HANDHELD SPECTRUM ANALYZER -  HSA 9102B",Black,"Not Applicable","Not Applicable","Grade B - Good Condition",Working,2
AIRFORCE,"WATER PROOF POUCH",Blue,"Not Applicable","Not Applicable","Brand New","Brand New",18
AIRFORCE,"WATER PROOF POUCH",Red,"Not Applicable","Not Applicable","Brand New","Brand New",26
AIRFORCE,"WATER PROOF POUCH",Red,"Not Applicable","Not Applicable","Insurance Grade","Brand New",2
AIRFORCE,"WATER PROOF POUCH",Blue,"Not Applicable","Not Applicable","Insurance Grade","Brand New",2
AIRTIES,"AIR 4420-TV WIRELESS",Black,"Not Applicable","Not Applicable","Insurance Grade","Brand New",2
AKASA,"PROCESSOR COOLER - AK 785SE",Black,"Not Applicable","Not Applicable","Insurance Grade","Brand New",8
ALBA,AC50FNE,Black,"Not Applicable",Damaged,"Grade C - Acceptable Condition",BER-Scrap,2
ALBA,AC50FNE,Black,"Not Applicable",Unlocked,"Grade C - Acceptable Condition",Working,2
ALBA,ACF18,Black,"Not Applicable",O2,"Grade C - Acceptable Condition",BER-Scrap,2
ALBA,ACF18,Black,"Not Applicable",Damaged,"Grade C - Acceptable Condition",BER-Scrap,8
ALBA,ACF18,Black,"Not Applicable",Unlocked,"Grade C - Acceptable Condition",Working,2
ALBA,ACF28,Purple,"Not Applicable",Damaged,"Grade D",BER-Scrap,2
ALBA,ACSE2G,Black,"Not Applicable",Damaged,"Grade C - Acceptable Condition",BER-Scrap,2
Alcatel," ONE TOUCH OT 983",Black,"Not Applicable",Unlocked,"Grade A - Very Good Condition",Working,2
Alcatel,10.16,Black,"Not Applicable",Unlocked,"Grade B - Good Condition",Working,34
Alcatel,10.16,Black,"Not Applicable",Unlocked,"Grade C - Acceptable Condition",Working,32
Alcatel,10.16,Black,"Not Applicable",Unlocked,"Grade A - Very Good Condition",Working,2
Alcatel,10.16,Black,"Not Applicable",Tesco-Mobile,"Grade D",Non-working,2
Alcatel,10.16,Black,"Not Applicable",Unlocked,"Grade B B2B",Working,36
Alcatel,10.16,Black,"Not Applicable",Tesco-Mobile,Unknown,"Power On Tested-Good LCD",2
Alcatel,10.16,Black,"Not Applicable",Unlocked,"Grade D",Working,8
Alcatel,10.16,Black,"Not Applicable",Tesco-Mobile,Unknown,Non-working,2
Alcatel,10.16,Black,"Not Applicable",Tesco-Mobile,"Grade B - Good Condition","Power On Tested-Good LCD",2
Alcatel,10.16,Black,"Not Applicable",Unknown,"Grade C - Acceptable Condition",BER,2
Alcatel,10.16,Black,"Not Applicable",Unknown,"Grade D",BER,2
Alcatel,10.16,Black,"Not Applicable",Unlocked,"Brand New","Brand New",6
Alcatel,10.16,Black,"Not Applicable","EE Network","Grade C - Acceptable Condition",Working,4
Alcatel,"1010 TES BLK",Black,"Not Applicable",Unlocked,"Grade C - Acceptable Condition",Working,10
Alcatel,"1010 TES BLK",Black,"Not Applicable",Unlocked,"Grade B - Good Condition",Working,12
Alcatel,"1010 TES BLK",Black,"Not Applicable",Tesco-Mobile,"Grade D",BER,2
Alcatel,1010X,Black,"Not Applicable",Unlocked,"Grade B - Good Condition",Working,12
Alcatel,1010X,Black,"Not Applicable",Unlocked,"Grade D",Working,12
Alcatel,1010X,Black,"Not Applicable",Tesco-Mobile,"Grade C - Acceptable Condition","Power On Tested-Broken LCD",2
Alcatel,1010X,Black,"Not Applicable",Tesco-Mobile,"Grade D",BER,2
Alcatel,1010X,Black,"Not Applicable",Unlocked,"Grade C - Acceptable Condition",Working,10
Alcatel,1010X,Black,"Not Applicable",Unlocked,"Grade C - Acceptable Condition",BER,2
Alcatel,1010X,Black,"Not Applicable",Unlocked,"Grade B - Good Condition","Working - Need Battery Cover",6
Alcatel,1010X,Black,"Not Applicable",NOS-Portugal,"Grade C - Acceptable Condition",BER,2
Alcatel,1010X,Black,"Not Applicable",Unlocked,"Grade B - Good Condition","Non-working - Need Battery Cover",16
Alcatel,1010X,Black,"Not Applicable",Virgin,"Grade B - Good Condition","Non-working - Unlock",2
Alcatel,1010X,Black,"Not Applicable",Unlocked,"Grade B - Good Condition",BER,2
Alcatel,1010X,Black,"Not Applicable",NOS-Portugal,"Grade C - Acceptable Condition","Power On Tested-Good LCD",4
Alcatel,1010X,Black,"Not Applicable",NOS-Portugal,"Grade D",BER,2
Alcatel,1010X,Black,"Not Applicable",NOS-Portugal,"Grade C - Acceptable Condition","Non-working - Need Battery Cover And Battery",2
Alcatel,1010X,Black,"Not Applicable",Unlocked,"Grade A - Very Good Condition","Non-working - Need Battery Cover",6
Alcatel,1010X,Black,"Not Applicable",Unlocked,"Grade A - Very Good Condition",Working,2
Alcatel,1010X,Black,"Not Applicable",NOS-Portugal,Unknown,Non-working,4
Alcatel,1010X,Black,"Not Applicable",Damaged,"Grade C - Acceptable Condition","Power On Tested-Good LCD",6
Alcatel,1010X,Black,"Not Applicable",Damaged,"Grade D",BER-Scrap,2
Alcatel,1010X,Black,1GB,Unlocked,"Grade D",Working,2
Alcatel,1010X,Black,1GB,Virgin,"Grade D",Working,2
Alcatel,1013X,"Bluish Black","Not Applicable",Unlocked,"Grade B - Good Condition",Working,50
Alcatel,1013X,"Bluish Black","Not Applicable",Unlocked,"Grade B B2B",Working,16
Alcatel,1013X,"Bluish Black","Not Applicable",Unlocked,"Grade A - Very Good Condition",Working,24
Alcatel,1013X,"Bluish Black","Not Applicable",Unlocked,"Insurance Grade","Brand New",10
Alcatel,1013X,"Bluish Black","Not Applicable",Unlocked,"Grade C - Acceptable Condition",Working,6
Alcatel,1013X,"Bluish Black","Not Applicable",Virgin,"Grade B - Good Condition","Non-working - Unlock",4
Alcatel,1013X,Black,"Not Applicable",Virgin,"Grade C - Acceptable Condition","Non-working - Unlock",2
Alcatel,1013X,"Bluish Black","Not Applicable",Virgin,"Grade B - Good Condition","Non-working - Need Battery Cover And Battery",2
Alcatel,1013X,Black,"Not Applicable",Damaged,"Grade C - Acceptable Condition","Power On Tested-Good LCD",2
Alcatel,1013X,Blue,"Not Applicable","EE Network","Grade C - Acceptable Condition","Working - Need Battery Cover",2
Alcatel,1013X,Black,"Not Applicable",Unlocked,"Insurance Grade",Working,2
Alcatel,1016D,Black,"Not Applicable",Damaged,"Grade C - Acceptable Condition","Power On Tested-Good LCD",4
Alcatel,1016D,White,"Not Applicable",Unlocked,"Brand New","Brand New",2
Alcatel,1016G,Black,"Not Applicable",Unlocked,"Grade B - Good Condition",Working,218
Alcatel,1016G,Black,"Not Applicable",Unlocked,"Grade B B2B",Working,72
Alcatel,1016G,Black,"Not Applicable",Unlocked,"Grade C - Acceptable Condition",Working,34
Alcatel,1016G,White,"Not Applicable",Unlocked,"Grade A - Very Good Condition",Working,8
Alcatel,1016G,White,"Not Applicable",Unlocked,"Grade B - Good Condition",Working,68
Alcatel,1016G,Black,"Not Applicable",Unlocked,"Grade A - Very Good Condition",Working,2
Alcatel,1016G,White,"Not Applicable",Unlocked,"Grade B B2B",Working,4
Alcatel,1016G,Black,"Not Applicable",Unlocked,"Grade B - Good Condition","Power On Tested-Good LCD",2
Alcatel,1016G,Black,"Not Applicable",Unlocked,"Grade D",Working,10
Alcatel,1016G,Black,"Not Applicable",Virgin,"Grade B - Good Condition",Working,2
Alcatel,1016G,Black,"Not Applicable",Virgin,"Grade B - Good Condition","Working - Need Battery Cover",2
Alcatel,1016G,Black,"Not Applicable",Virgin,"Grade B - Good Condition","Non-working - Need Battery Cover",2
Alcatel,1016G,Black,"Not Applicable",Virgin,"Grade C - Acceptable Condition","Non-working - Unlock",2
Alcatel,1016G,Black,"Not Applicable",Unlocked,Unknown,Non-working,2
Alcatel,1016G,White,"Not Applicable",Virgin,"Grade B - Good Condition","Non-working - Unlock",2
Alcatel,1016G,Black,"Not Applicable",Unlocked,"Brand New","Brand New",600
Alcatel,1016G,Black,"Not Applicable",Damaged,"Grade C - Acceptable Condition","Power On Tested-Good LCD",34
Alcatel,1016G,Black,"Not Applicable",Damaged,"Grade D","Power On Tested-Good LCD",2
Alcatel,1016G,Grey,"Not Applicable",O2,"Grade C - Acceptable Condition",Working,2
Alcatel,1016G,Black,"Not Applicable","EE Network","Grade C - Acceptable Condition",Working,16
Alcatel,1016G,Black,"Not Applicable",Unlocked,"Grade D","Working - Minor Issue",2
Alcatel,1016G,Black,"Not Applicable","EE Network","Grade D",Working,2
Alcatel,1016G,Black,"Not Applicable",Unlocked,"Grade C - Acceptable Condition","Working – Minor Screen Burn",2
Alcatel,1016G,Black,1GB,"EE Network","Grade D","Working - Minor Issue",2
Alcatel,1016G,Black,1GB,Unlocked,"Grade D","Working - Minor Issue",2
Alcatel,1016G,Black,1GB,Unlocked,"Grade C - Acceptable Condition",Working,2
Alcatel,1016G,Black,"Not Applicable",Vodafone,"Grade C - Acceptable Condition",Working,2
Alcatel,1016G,Grey,"Not Applicable",Unlocked,"Grade C - Acceptable Condition",Working,2
Alcatel,1035,White,"Not Applicable",Unlocked,"Grade A - Very Good Condition",Working,6
Alcatel,1035,"DARK CHOCOLATE","Not Applicable",Unlocked,"Brand New","Brand New",680
Alcatel,1035X,Red,"Not Applicable",Unlocked,"Insurance Grade","Brand New",14
Alcatel,1035X,Red,"Not Applicable",Unlocked,"Grade B B2B",Working,6
Alcatel,1035X,White,"Not Applicable",Unlocked,"Grade A - Very Good Condition",Working,28
Alcatel,1035X,White,"Not Applicable",Unlocked,"Insurance Grade","Brand New",24
Alcatel,1035X,White,"Not Applicable",Unlocked,"Grade B - Good Condition",Working,6
Alcatel,1035X,White,"Not Applicable",Unlocked,"Brand New","Brand New",210
Alcatel,1035X,White,"Not Applicable",Lebara,"Grade A - Very Good Condition","Non-working - Unlock",2
Alcatel,1035X,Red,"Not Applicable",Unlocked,"Grade A - Very Good Condition",Working,4
Alcatel,1035X,Red,"Not Applicable",Unlocked,"Grade B - Good Condition",Working,8
Alcatel,1035X,"DARK CHOCOLATE","Not Applicable",Unlocked,"Grade A - Very Good Condition","Working - Need Battery Cover and Battery",8
Alcatel,1035X,"DARK CHOCOLATE","Not Applicable",Unlocked,"Grade A - Very Good Condition","Working - Need Battery Cover",6
Alcatel,1035X,"DARK CHOCOLATE","Not Applicable",Unlocked,"Grade A - Very Good Condition",Working,106
Alcatel,1035X,"DARK CHOCOLATE","Not Applicable",Unlocked,"Grade B - Good Condition",Working,8
Alcatel,1035X,"DARK CHOCOLATE","Not Applicable",Unlocked,"Insurance Grade",Working,16
Alcatel,1035X,"DARK CHOCOLATE","Not Applicable",NOS-Portugal,Unknown,Non-working,6
Alcatel,1035X,"DARK CHOCOLATE","Not Applicable",NOS-Portugal,"Grade A - Very Good Condition",Working,4
Alcatel,1035X,"DARK CHOCOLATE","Not Applicable",NOS-Portugal,"Grade A - Very Good Condition","Working - Need Battery Cover",8
Alcatel,1035X,"DARK CHOCOLATE","Not Applicable",Unlocked,Unknown,"Non-working - Need Repair - HardWare",4
Alcatel,1035X,"DARK CHOCOLATE","Not Applicable",Unlocked,"Grade C - Acceptable Condition",Working,2
Alcatel,1035X,"DARK CHOCOLATE","Not Applicable",NOS-Portugal,"Grade C - Acceptable Condition","Working - Minor Issue",2
Alcatel,1035X,"DARK CHOCOLATE","Not Applicable",NOS-Portugal,"Grade C - Acceptable Condition","Non-working - Need Battery Cover And Battery",2
Alcatel,1035X,Black,"Not Applicable",Damaged,"Grade C - Acceptable Condition","Power On Tested-Good LCD",4
Alcatel,1035X,Black,"Not Applicable",Unlocked,"Grade D",Working,2
Alcatel,1040x,White,"Not Applicable",Damaged,"Grade C - Acceptable Condition","Power On Tested-Good LCD",2
Alcatel,1042X,Black,"Not Applicable",Unlocked,"Grade B - Good Condition",Working,6
Alcatel,1042X,Black,"Not Applicable",Unknown,Unknown,Non-working,2
Alcatel,1042X,Black,"Not Applicable",Foreign,"Grade C - Acceptable Condition","Non-working - Unlock",2
Alcatel,1042X,Black,"Not Applicable",Unknown,"Grade D","Power On Tested-Broken LCD",2
Alcatel,1042X,Black,"Not Applicable",Unknown,"Grade C - Acceptable Condition","Power On Tested-Broken LCD",2
Alcatel,1052G,Black,"Not Applicable",NOS-Portugal,"Grade B - Good Condition","Non-working - Need Battery Cover And Battery",8
Alcatel,1052G,Black,"Not Applicable",Unlocked,"Grade A - Very Good Condition","Non-working - Need Battery Cover",2
Alcatel,1052G,Black,"Not Applicable",NOS-Portugal,"Grade B - Good Condition","Non-working - Need Battery Cover",2
Alcatel,1052G,Black,"Not Applicable",NOS-Portugal,"Insurance Grade","Non-working - Need Battery Cover",2
Alcatel,1052G,Black,"Not Applicable",Unlocked,"Brand New","Brand New",30
Alcatel,1052G,Black,"Not Applicable",NOS-Portugal,"Grade C - Acceptable Condition","Non-working - DeBrand",4
Alcatel,1052G,Black,"Not Applicable",NOS-Portugal,"Grade A - Very Good Condition","Non-working - DeBrand",2
Alcatel,1052G,Black,"Not Applicable",NOS-Portugal,"Grade B - Good Condition","Non-working - DeBrand",2
Alcatel,1052G,Black,"Not Applicable",NOS-Portugal,"Grade B - Good Condition","Working - Need Battery Cover",4
Alcatel,1052G,Black,"Not Applicable",Unlocked,"Grade B - Good Condition","Non-working - Need Battery Cover",2
Alcatel,1052G,Black,"Not Applicable",Damaged,"Grade C - Acceptable Condition","Power On Tested-Good LCD",2
Alcatel,1052G,Black,"Not Applicable",Vodafone,"Grade C - Acceptable Condition",Working,2
Alcatel,1054X,Black,"Not Applicable",Unlocked,"Grade C - Acceptable Condition","Non-working - Need Battery Cover And Battery",2
Alcatel,1054X,Black,"Not Applicable",Unlocked,"Grade B - Good Condition","Non-working - Need Battery Cover And Battery",2
Alcatel,1054X,Black,"Not Applicable",Unlocked,Unknown,"Awaiting Parts",6
Alcatel,1054X,Black,1GB,Vodafone,"Grade C - Acceptable Condition",Working,2
Alcatel,132,Black,"Not Applicable",Damaged,"Grade C - Acceptable Condition","Power On Tested-Broken LCD",2
Alcatel,"20 01 T BLK",Black,"Not Applicable",Unlocked,"Insurance Grade","Brand New",2
Alcatel,"20 01 T BLK",Black,"Not Applicable",Unlocked,"Grade D",Working,6
Alcatel,"20 01 T BLK",Black,"Not Applicable",Tesco-Mobile,Unknown,BER,2
Alcatel,20.04,Black,"Not Applicable",Unlocked,"Grade B - Good Condition",Working,12
Alcatel,20.04,Black,"Not Applicable",Unlocked,"Grade D",Working,2
Alcatel,20.04,Black,"Not Applicable",Tesco-Mobile,"Grade B - Good Condition","Power On Tested-Good LCD",2
Alcatel,20.04,Black,"Not Applicable",Unlocked,"Grade C - Acceptable Condition",Working,10
Alcatel,20.04,Black,"Not Applicable",Unlocked,"Grade B B2B",Working,2
Alcatel,20.04,Black,"Not Applicable",Unlocked,"Grade A - Very Good Condition",Working,2
Alcatel,20.05,Black,"Not Applicable",Unlocked,"Grade A - Very Good Condition",Working,2
Alcatel,20.05,Black,"Not Applicable",Unlocked,"Grade B - Good Condition",Working,2
Alcatel,20.07,Black,"Not Applicable",Unlocked,"Insurance Grade","Brand New",22
Alcatel,20.07,Black,"Not Applicable",Unknown,"Grade D",BER,2
Alcatel,20.07,Black,"Not Applicable",Unlocked,"Grade A - Very Good Condition",Non-working,2
Alcatel,20.07,Black,"Not Applicable",Unlocked,"Grade D",Working,6
Alcatel,20.07,Black,"Not Applicable",Unlocked,"Grade A - Very Good Condition",Working,12
Alcatel,20.07,Black,"Not Applicable",Unlocked,"Grade C - Acceptable Condition",Working,16
Alcatel,20.07,Black,"Not Applicable",Tesco-Mobile,Unknown,BER,2
Alcatel,20.07,Black,"Not Applicable",Unknown,"Grade B - Good Condition","Power On Tested-Good LCD",2
Alcatel,20.07,Black,"Not Applicable",Tesco-Mobile,"Grade C - Acceptable Condition","Power On Tested-Good LCD",2
Alcatel,20.07,Black,"Not Applicable",Unlocked,"Grade B - Good Condition",Working,10
Alcatel,20.07,Black,"Not Applicable",Unknown,"Grade D","Power On Tested-Good LCD",4
Alcatel,20.07,Black,"Not Applicable",Unknown,"Grade C - Acceptable Condition","Power On Tested-Good LCD",2
Alcatel,20.07,Black,"Not Applicable",Unknown,Unknown,BER,2
Alcatel,20.07,Black,"Not Applicable",Unlocked,Unknown,BER,2
